,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nwound,propextent_txt,ransomamt
0,2012,1,1,56,4206,0,2,4764,1084,63,0,2,6,5788,3.0,14.0,1,15860.45
1,2012,1,1,82,11535,2,9,2201,9799,96,4,2,10,1604,4.0,3.0,1,15860.45
2,2012,1,1,56,4206,0,2,7297,1084,63,0,2,6,1604,2.0,14.0,1,15860.45
3,2012,1,1,0,5999,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
4,2012,1,1,27,10956,3,13,5547,2402,30,4,5,0,1604,18.0,5.0,1,15860.45
5,2012,1,1,118,9660,3,0,665,2617,137,4,5,12,619,0.0,0.0,1,15860.45
6,2012,1,2,45,12181,2,13,5547,2402,51,4,2,6,1604,0.0,3.0,1,15860.45
7,2012,1,2,0,9879,2,13,5547,2402,0,2,2,10,1604,3.0,0.0,1,15860.45
8,2012,1,2,93,165,0,9,6452,7616,109,4,4,25,1604,1.0,6.0,1,15860.45
9,2012,1,2,97,1876,0,13,5547,2402,114,4,4,25,1604,3.0,0.0,1,15860.45
10,2012,1,2,0,5361,2,9,150,9799,0,2,2,24,1604,2.0,4.0,1,15860.45
11,2012,1,2,0,616,2,9,150,1097,0,2,2,17,5060,1.0,3.0,1,15860.45
12,2012,1,3,82,9685,2,13,5547,2402,96,4,2,27,2676,2.0,19.0,1,15860.45
13,2012,1,3,81,2066,0,12,5470,1155,92,4,2,24,1969,1.0,1.0,1,15860.45
14,2012,1,3,81,7628,1,13,5547,9554,92,4,4,25,1604,1.0,0.0,1,15860.45
15,2012,1,3,81,3122,1,13,5547,3414,92,4,9,25,1604,1.0,0.0,1,15860.45
16,2012,1,3,0,5888,2,12,160,7616,0,2,2,27,1121,7.0,16.0,1,15860.45
17,2012,1,3,0,5888,2,12,160,7616,0,2,2,22,2026,8.0,19.0,1,15860.45
18,2012,1,3,0,5888,2,19,7297,10933,55,2,2,24,1604,0.0,0.0,1,15860.45
19,2012,1,1,118,8997,3,14,7297,5180,137,4,5,12,4465,0.0,0.0,1,15860.45
20,2012,1,1,118,8997,3,14,3820,5816,137,4,5,12,4465,0.0,0.0,1,15860.45
21,2012,1,1,118,8997,3,13,5547,5214,137,4,5,12,4465,0.0,0.0,1,15860.45
22,2012,1,1,118,8997,3,2,7297,3054,137,4,5,12,4465,0.0,0.0,1,15860.45
23,2012,1,3,0,11148,0,12,160,8285,0,2,4,25,1604,3.0,0.0,1,15860.45
24,2012,1,3,45,1607,3,15,7297,1714,51,4,5,5,4222,0.0,0.0,2,15860.45
25,2012,1,3,110,6823,2,9,5800,10372,127,4,2,18,481,2.0,0.0,2,15860.45
26,2012,1,3,86,10281,0,9,5852,7985,100,4,2,17,5651,1.0,2.0,1,15860.45
27,2012,1,3,27,10956,0,13,5547,2402,30,4,6,9,1604,12.0,4.0,1,15860.45
28,2012,1,3,27,10956,0,13,5547,2402,30,4,6,9,1604,15.0,4.0,1,15860.45
29,2012,1,3,118,9548,3,14,7297,5871,137,4,5,5,4035,0.0,0.0,1,15860.45
30,2012,1,4,81,8521,8,13,5547,2402,92,4,9,25,1604,4.0,0.0,1,15860.45
31,2012,1,4,81,7628,2,13,5547,5214,92,4,2,24,1604,0.0,0.0,1,15860.45
32,2012,1,4,81,3122,2,2,7297,1084,92,4,2,24,1604,0.0,0.0,1,15860.45
33,2012,1,4,123,144,0,2,4679,5209,144,4,4,25,1604,2.0,13.0,1,15860.45
34,2012,1,4,0,12514,8,9,5528,3056,53,2,9,25,1604,1.0,1.0,2,15860.45
35,2012,1,4,45,11495,2,13,5547,2402,51,4,2,10,1604,0.0,0.0,1,15860.45
36,2012,1,4,122,5530,3,13,5547,1671,57,4,5,0,1604,0.0,0.0,1,15860.45
37,2012,1,4,97,11666,2,9,183,6144,53,0,2,24,1604,0.0,4.0,2,15860.45
38,2012,1,4,0,8903,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
